University Name,City,Category,Website,Website Domain,Confidence,Source
Central Sanskrit University,Delhi,Central Universities,https://www.sanskrit.nic.in/,www.sanskrit.nic.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Jawaharlal Nehru University,Delhi,Central Universities,https://www.jnu.ac.in/,www.jnu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Shri Lal Bahadur Shastri National Sanskrit University,Delhi,Central Universities,https://www.slbsrsv.ac.in/,www.slbsrsv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
South Asian University,Delhi,Central Universities,https://sau.int/,sau.int,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Ambedkar University Delhi,Delhi,State Universities,https://aud.delhi.gov.in/,aud.delhi.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Delhi Pharmaceutical Science and Research University,Delhi,State Universities,https://dpsru.edu.in/,dpsru.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Delhi Skill and Entrepreneurship University,Delhi,State Universities,https://dseu.ac.in/,dseu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Delhi Sports University,Delhi,State Universities,https://dsu.ac.in/,dsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Delhi Teachers University,Delhi,State Universities,https://detu.delhi.gov.in/,detu.delhi.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Delhi Technological University,Delhi,State Universities,http://www.dtu.ac.in/,www.dtu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Guru Gobind Singh Indraprastha University,Delhi,State Universities,http://www.ipu.ac.in/,www.ipu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Indira Gandhi Delhi Technical University for Women,Delhi,State Universities,https://www.igdtuw.ac.in/,www.igdtuw.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Indraprastha Institute of Information Technology Delhi,Delhi,State Universities,https://www.iiitd.ac.in/,www.iiitd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
National Law University Delhi,Delhi,State Universities,https://nludelhi.ac.in/,nludelhi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Netaji Subhash University of Technology,Delhi,State Universities,https://nsut.ac.in/,nsut.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
AIIMS Delhi,Delhi,Autonomous Universities,https://www.aiims.edu/,www.aiims.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
IIT Delhi,Delhi,Autonomous Universities,https://home.iitd.ac.in/,home.iitd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
National Institute of Hotel Management Delhi,Delhi,Autonomous Universities,,,low,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Indian Institute of Foreign Trade,Delhi,Deemed Universities,https://www.iift.ac.in/,www.iift.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Institute of Liver and Biliary Sciences,Delhi,Deemed Universities,https://www.ilbs.in/,www.ilbs.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Jamia Hamdard,Delhi,Deemed Universities,https://www.jamiahamdard.ac.in/,www.jamiahamdard.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
National Institute of Educational Planning and Administration,Delhi,Deemed Universities,https://niepa.ac.in/,niepa.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
"National Museum Institute of History of Art, Conservation and Museology",Delhi,Deemed Universities,https://nmi.gov.in/,nmi.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
School of Planning and Architecture Delhi,Delhi,Deemed Universities,https://spa.ac.in/,spa.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
National Institute of Technology Delhi,Delhi,Other Autonomous Institutes,https://nitdelhi.ac.in/,nitdelhi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
National School of Drama,Delhi,Other Autonomous Institutes,https://nsd.gov.in/,nsd.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Acharya Narendra Dev College,Delhi,DU Colleges,https://www.andcollege.du.ac.in/,www.andcollege.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Aditi Mahavidyalaya,Delhi,DU Colleges,https://aditi.du.ac.in/,aditi.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Aryabhatta College,Delhi,DU Colleges,https://aryabhattacollege.in/,aryabhattacollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Atma Ram Sanatan Dharma College,Delhi,DU Colleges,https://arsdcollege.ac.in/,arsdcollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Ayurvedic and Unani Tibbia College,Delhi,DU Colleges,https://autch.delhi.gov.in/,autch.delhi.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Bhagini Nivedita College,Delhi,DU Colleges,http://bhagininivedita.du.ac.in/,bhagininivedita.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Bhim Rao Ambedkar College,Delhi,DU Colleges,https://www.drbrambedkarcollege.ac.in/,www.drbrambedkarcollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
College of Art Delhi,Delhi,DU Colleges,https://colart.delhi.gov.in/,colart.delhi.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Daulat Ram College,Delhi,DU Colleges,https://www.dr.du.ac.in/,www.dr.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Deen Dayal Upadhyaya College,Delhi,DU Colleges,https://dducollegedu.ac.in/,dducollegedu.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Delhi College of Arts and Commerce,Delhi,DU Colleges,https://dcac.du.ac.in/,dcac.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Delhi Institute of Pharmaceutical Sciences and Research,Delhi,DU Colleges,https://dpsru.edu.in/dipsar,dpsru.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Dyal Singh College,Delhi,DU Colleges,https://www.dsc.du.ac.in/,www.dsc.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Indira Gandhi Institute of Physical Education and Sports Sciences,Delhi,DU Colleges,https://igipess.du.ac.in/,igipess.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Institute of Home Economics,Delhi,DU Colleges,https://ihe.du.ac.in/,ihe.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Janki Devi Memorial College,Delhi,DU Colleges,https://jdm.du.ac.in/,jdm.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Kamala Nehru College,Delhi,DU Colleges,https://knc.du.ac.in/,knc.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Keshav Mahavidyalaya,Delhi,DU Colleges,https://keshav.du.ac.in/,keshav.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Kirori Mal College,Delhi,DU Colleges,https://kmc.du.ac.in/,kmc.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Lady Irwin College,Delhi,DU Colleges,https://ladyirwin.edu.in/,ladyirwin.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Lakshmibai College,Delhi,DU Colleges,https://lakshmibaicollege.in/,lakshmibaicollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Maharshi Valmiki College of Education,Delhi,DU Colleges,https://www.mvce.ac.in/,www.mvce.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Mata Sundri College for Women,Delhi,DU Colleges,https://mscw.ac.in/,mscw.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Maulana Azad Institute of Dental Sciences,Delhi,DU Colleges,https://maids.delhi.gov.in/,maids.delhi.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Miranda House,Delhi,DU Colleges,https://www.mirandahouse.ac.in/,www.mirandahouse.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Nehru Homoeopathic Medical College and Hospital,Delhi,DU Colleges,https://nhmc.delhi.gov.in/,nhmc.delhi.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
P.G.D.A.V. College,Delhi,DU Colleges,https://www.pgdavcollege.in/,www.pgdavcollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Rajkumari Amrit Kaur College of Nursing,Delhi,DU Colleges,https://rakcon.com/,rakcon.com,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Ram Lal Anand College,Delhi,DU Colleges,https://rlacollege.edu.in/,rlacollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Ramanujan College,Delhi,DU Colleges,https://ramanujancollege.ac.in/,ramanujancollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Satyawati College,Delhi,DU Colleges,https://satyawati.du.ac.in/,satyawati.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
School of Open Learning,Delhi,DU Colleges,https://sol.du.ac.in/,sol.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Shaheed Sukhdev College of Business Studies,Delhi,DU Colleges,https://sscbs.du.ac.in/,sscbs.du.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Shri Ram College of Commerce,Delhi,DU Colleges,https://www.srcc.edu/,www.srcc.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Delhi
Shyama Prasad Mukherji College,Delhi,DU Colleges,https://spm.du.ac.in/,spm.du.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Delhi
