University Name,City,Category,Website,Website Domain,Confidence,Source
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Wardha,Central University,https://hindivishwa.org/,hindivishwa.org,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,Dapoli Ratnagiri,State Universities,https://dbskkv.ac.in/,dbskkv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Akola,State Universities,https://www.pdkv.ac.in/,www.pdkv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Gondwana University,Gadchiroli,State Universities,https://unigug.ac.in/,unigug.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Kavikulguru Kalidas Sanskrit University,Ramtek Nagpur,State Universities,https://kksu.org/,kksu.org,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
MIT Vishwaprayag University,Solapur,State Universities,https://www.mitvpu.ac.in/,www.mitvpu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Maharashtra Animal and Fishery Sciences University,Nagpur,State Universities,https://www.mafsu.ac.in/,www.mafsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Maharashtra State Board of Technical Education,Mumbai,State Universities,https://msbte.org.in/,msbte.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Punyashlok Ahilyadevi Holkar Solapur University,Solapur,State Universities,https://www.sus.ac.in/,www.sus.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Vasantrao Naik Marathwada Agricultural University,Parbhani,State Universities,https://www.vnmkv.ac.in/,www.vnmkv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
"Maharashtra National Law University, Aurangabad",Chhatrapati Sambhaji Nagar,National Law Universities,https://mnlua.ac.in/,mnlua.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
"Maharashtra National Law University, Mumbai",Mumbai,National Law Universities,https://mnlumumbai.edu.in/,mnlumumbai.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
"Maharashtra National Law University, Nagpur",Nagpur,National Law Universities,https://www.nlunagpur.ac.in/,www.nlunagpur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Central Institute of Fisheries Education,Mumbai,Deemed Universities,https://www.cife.edu.in/,www.cife.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Chinmaya Vishwavidyapeeth,Mumbai,Deemed Universities,https://www.cvv.ac.in/,www.cvv.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
D. Y. Patil Education Society,Kolhapur,Deemed Universities,https://dypatilunikop.org/,dypatilunikop.org,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Datta Meghe Institute of Medical Sciences,Wardha,Deemed Universities,https://www.dmiher.edu.in/,www.dmiher.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Deccan College Post-Graduate and Research Institute,Pune,Deemed Universities,https://www.dcpune.ac.in/,www.dcpune.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Defence Institute of Advanced Technology,Pune,Deemed Universities,https://diat.ac.in/,diat.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Gokhale Institute of Politics and Economics,Pune,Deemed Universities,https://gipe.ac.in/,gipe.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Homi Bhabha National Institute,Mumbai,Deemed Universities,http://www.hbni.ac.in/,www.hbni.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Indira Gandhi Institute of Development Research,Mumbai,Deemed Universities,http://www.igidr.ac.in/,www.igidr.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
Institute of Chemical Technology,Mumbai,Deemed Universities,https://www.ictmumbai.edu.in/,www.ictmumbai.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
International Institute for Population Sciences,Mumbai,Deemed Universities,https://www.iipsindia.ac.in/,www.iipsindia.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Maharashtra
