University Name,City,Category,Website,Website Domain,Confidence,Source
"All India Institute of Medical Sciences, Patna",Patna,Institutes of National Importance,https://www.aiimspatna.edu.in/,www.aiimspatna.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Dr. Rajendra Prasad Central Agriculture University,Pusa,Institutes of National Importance,https://rpcau.ac.in/,rpcau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
"Indian Institute of Information Technology, Bhagalpur",Bhagalpur,Institutes of National Importance,https://iiitbh.ac.in/,iiitbh.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Indian Institute of Management Bodh Gaya,Bodh Gaya,Institutes of National Importance,https://www.iimbg.ac.in/,www.iimbg.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Indian Institute of Technology Patna,Patna,Institutes of National Importance,https://www.iitp.ac.in/,www.iitp.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
"National Institute of Pharmaceutical Education and Research, Hajipur",Hajipur,Institutes of National Importance,https://niperhajipur.ac.in/,niperhajipur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
"National Institute of Technology, Patna",Patna,Institutes of National Importance,https://www.nitp.ac.in/,www.nitp.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Officers Training Academy,Gaya,Institutes of National Importance,https://www.joinindianarmy.nic.in/,www.joinindianarmy.nic.in,low,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Mahatma Gandhi Central University,Motihari,Central Universities,https://www.mgcub.ac.in/,www.mgcub.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Bhupendra Narayan Mandal University,Madhepura,State Universities,https://bnmu.ac.in/,bnmu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Bihar Agricultural University,Bhagalpur,State Universities,https://bausabour.ac.in/,bausabour.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Bihar Animal Sciences University,Patna,State Universities,https://basu.org.in/,basu.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Bihar Sports University,Nalanda,State Universities,https://bsur.bihar.gov.in/,bsur.bihar.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Bihar University of Health Sciences,Patna,State Universities,https://buhs.ac.in/,buhs.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Chanakya National Law University,Patna,State Universities,https://www.cnlu.ac.in/,www.cnlu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Jai Prakash University,Chhapra,State Universities,https://www.jpv.ac.in/,www.jpv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Kameshwar Singh Darbhanga Sanskrit University,Darbhanga,State Universities,https://ksdsu.bihar.gov.in/,ksdsu.bihar.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Maulana Mazharul Haque Arabic and Persian University,Patna,State Universities,https://mmhapu.ac.in/,mmhapu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Al-Karim University,Katihar,Private Universities,https://www.alkarimuniversity.edu.in/,www.alkarimuniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
"Amity University, Patna",Patna,Private Universities,https://patna.amity.edu/,patna.amity.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
"Dr. C.V. Raman University, Bihar",Vaishali,Private Universities,https://cvrubihar.ac.in/,cvrubihar.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
K. K. University,Biharsharif,Private Universities,https://kkuniversity.ac.in/,kkuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
Mata Gujri University,Kishanganj,Private Universities,https://www.matagujriuniversity.com/,www.matagujriuniversity.com,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
"Sandip University, Sijoul",Madhubani,Private Universities,https://sijoul.sandipuniversity.edu.in/,sijoul.sandipuniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Bihar
