University Name,City,Category,Website,Website Domain,Confidence,Source
All India Institute of Medical Sciences Rishikesh,Rishikesh,Institutes of National Importance,https://aiimsrishikesh.edu.in/,aiimsrishikesh.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Indian Institute of Management Kashipur,Kashipur,Institutes of National Importance,https://www.iimkashipur.ac.in/,www.iimkashipur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Indian Institute of Technology Roorkee,Roorkee,Institutes of National Importance,https://www.iitr.ac.in/,www.iitr.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
National Institute of Technology Uttarakhand,Srinagar,Institutes of National Importance,https://nituk.ac.in/,nituk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
H.N.B. Uttarakhand Medical Education University,Dehradun,State Universities,https://www.hnbumu.ac.in/,www.hnbumu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Uttarakhand Aawasiya Vishwavidyalaya,Almora,State Universities,http://uru.ac.in/,uru.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Uttarakhand Ayurveda University,Dehradun,State Universities,https://www.uau.ac.in/,www.uau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Uttarakhand Sanskrit University,Haridwar,State Universities,https://usvv.ac.in/,usvv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Uttarakhand State Sports University,Haldwani,State Universities,,,low,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Veer Chandra Singh Garhwali Uttarakhand University of Horticulture and Forestry,Pauri,State Universities,https://www.uuhf.ac.in/,www.uuhf.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Forest Research Institute,Dehradun,Deemed Universities,https://fridu.edu.in/,fridu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Graphic Era University,Dehradun,Deemed Universities,https://geu.ac.in/,geu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
Gurukula Kangri Vishwavidyalaya,Haridwar,Deemed Universities,https://www.gkv.ac.in/,www.gkv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttarakhand
