University Name,City,Category,Website,Website Domain,Confidence,Source
Central University of Rajasthan,Ajmer,Central Universities,https://www.curaj.ac.in/,www.curaj.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
"Agriculture University, Jodhpur",Jodhpur,State Universities,https://www.aujodhpur.ac.in/,www.aujodhpur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
"Agriculture University, Kota",Kota,State Universities,https://aukota.org/,aukota.org,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Bikaner Technical University,Bikaner,State Universities,https://www.btu.ac.in/,www.btu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,Jodhpur,State Universities,https://rauonline.in/,rauonline.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Haridev Joshi University of Journalism and Mass Communication,Jaipur,State Universities,https://hju.ac.in/,hju.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Homoeopathy University,Jaipur,State Universities,https://www.homoeopathyuniversity.org/,www.homoeopathyuniversity.org,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Jagadguru Ramanandacharya Rajasthan Sanskrit University,Jaipur,State Universities,https://www.jrrsu.in/,www.jrrsu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
"National Law University, Jodhpur",Jodhpur,State Universities,https://www.nlujodhpur.ac.in/,www.nlujodhpur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Rajasthan Technical University,Kota,State Universities,https://www.rtu.ac.in/,www.rtu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Rajasthan University of Veterinary and Animal Sciences,Bikaner,State Universities,https://rajuvas.ac.in/,rajuvas.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
"Sardar Patel University of Police, Security and Criminal Justice",Jodhpur,State Universities,https://policeuniversity.ac.in/,policeuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Sri Karan Narendra Agriculture University,Jobner,State Universities,https://www.sknau.ac.in/,www.sknau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Swami Keshwanand Rajasthan Agricultural University,Bikaner,State Universities,https://raubikaner.org/,raubikaner.org,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Amity University Rajasthan,Jaipur,Private Universities,https://www.amity.edu/jaipur/,www.amity.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Bhagwant University,Ajmer,Private Universities,https://bhagwantuniversity.ac.in/,bhagwantuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Dr. K.N.Modi University,Tonk,Private Universities,https://dknmu.org/,dknmu.org,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Gyan Vihar University,Jaipur,Private Universities,https://www.gyanvihar.org/,www.gyanvihar.org,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
JECRC University,Jaipur,Private Universities,https://jecrcuniversity.edu.in/,jecrcuniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
JK Lakshmipat University,Jaipur,Private Universities,https://jklu.edu.in/,jklu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
"Jagannath University, Jaipur",Jaipur,Private Universities,https://www.jagannathuniversity.org/,www.jagannathuniversity.org,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Jodhpur National University,Jodhpur,Private Universities,https://jodhpurnationaluniversity.co.in/,jodhpurnationaluniversity.co.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
LNM Institute of Information Technology,Jaipur,Private Universities,https://lnmiit.ac.in/,lnmiit.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Manipal University Jaipur,Jaipur,Private Universities,https://jaipur.manipal.edu/,jaipur.manipal.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Maulana Azad University,Jodhpur,Private Universities,https://www.mauj.ac.in/,www.mauj.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Mody University,Sikar,Private Universities,https://www.modyuniversity.ac.in/,www.modyuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
NIIT University,Neemrana,Private Universities,https://niituniversity.in/,niituniversity.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
OPJS University,Churu,Private Universities,https://www.opjsuniversity.edu.in/,www.opjsuniversity.edu.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Pacific Academy of Higher Education and Research Udaipur,Udaipur,Private Universities,https://www.pacific-university.ac.in/,www.pacific-university.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Poornima University,Jaipur,Private Universities,https://poornima.edu.in/,poornima.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
RNB Global University,Bikaner,Private Universities,https://www.rnbglobal.edu.in/,www.rnbglobal.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Singhania University,Jhunjhunu,Private Universities,https://singhaniauniversity.ac.in/,singhaniauniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Sunrise University,Alwar,Private Universities,https://www.sunriseuniversity.in/,www.sunriseuniversity.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Suresh Gyan Vihar University,Jaipur,Private Universities,https://www.gyanvihar.org/,www.gyanvihar.org,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
"University of Engineering & Management, Jaipur",Jaipur,Private Universities,https://uem.edu.in/uem-jaipur/,uem.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Vivekananda Global University,Jaipur,Private Universities,https://vgu.ac.in/,vgu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
Banasthali Vidyapith,Vanasthali,Deemed Universities,http://www.banasthali.org/,www.banasthali.org,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
"Birla Institute of Technology & Science, Pilani",Pilani,Deemed Universities,https://www.bits-pilani.ac.in/,www.bits-pilani.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Rajasthan
