University Name,City,Category,Website,Website Domain,Confidence,Source
Central University of Jharkhand,Ranchi,Central University,https://cuj.ac.in/,cuj.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
All India Institute of Medical Sciences,Deoghar,Institute of National Importance,https://www.aiimsdeoghar.edu.in/,www.aiimsdeoghar.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Central Institute of Psychiatry,Ranchi,Institute of National Importance,https://www.cipranchi.nic.in/,www.cipranchi.nic.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Indian Institute of Information Technology,Ranchi,Institute of National Importance,https://iiitranchi.ac.in/,iiitranchi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Indian Institute of Management Ranchi,Ranchi,Institute of National Importance,https://iimranchi.ac.in/,iimranchi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Indian Institute of Technology (Indian School of Mines),Dhanbad,Institute of National Importance,https://www.iitism.ac.in/,www.iitism.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
National Institute of Technology,Jamshedpur,Institute of National Importance,https://www.nitjsr.ac.in/,www.nitjsr.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
"Birla Institute of Technology, Mesra",Ranchi,Deemed Universities,https://bitmesra.ac.in/,bitmesra.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
National Institute of Advanced Manufacturing Technology,Ranchi,Deemed Universities,https://niamt.ac.in/,niamt.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Jamshedpur Women's University,Jamshedpur,State Universities,https://www.jwu.ac.in/,www.jwu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Jharkhand Raksha Shakti University,Ranchi,State Universities,https://www.jrsu.ac.in/,www.jrsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Jharkhand State Open University,Ranchi,State Universities,https://jsou.ac.in/,jsou.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
"Kaushal Vidya Entrepreneurship, Digital and Skill University",Ranchi,State Universities,https://jhkaushalvedskill.university/,jhkaushalvedskill.university,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Kolhan University,Chaibasa,State Universities,https://www.kolhanuniversity.ac.in/,www.kolhanuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
National University of Study and Research in Law,Ranchi,State Universities,https://nusrlranchi.ac.in/,nusrlranchi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Amity University,Ranchi,Private Universities,https://amity.edu/ranchi/,amity.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Arka Jain University,Seraikela Kharsawan,Private Universities,https://arkajainuniversity.ac.in/,arkajainuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Babu Dinesh Singh University,Garhwa,Private Universities,https://bdsu.ac.in/,bdsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Capital University,Koderma,Private Universities,https://www.capitaluniversity.edu.in/,www.capitaluniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Durga Soren University,Deoghar,Private Universities,https://www.durgasorenuniversity.ac.in/,www.durgasorenuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Pragyan International University,Ranchi,Private Universities,https://www.pragyaninternationaluniversity.com/,www.pragyaninternationaluniversity.com,low,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Radha Govind University,Ramgarh,Private Universities,https://rguniversity.edu.in/,rguniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
Ram Krishna Dharmarth Foundation University,Ranchi,Private Universities,https://rkdfuniversity.org/,rkdfuniversity.org,high,wikipedia:List_of_institutions_of_higher_education_in_Jharkhand
