University Name,City,Category,Website,Website Domain,Confidence,Source
"Aligarh Muslim University, Malappuram Centre",Perinthalmanna,Central Universities,https://www.amu.ac.in/amucentres/amu-malappuram-centre-kerala,www.amu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Central Sanskrit University, Guruvayoor Campus",Guruvayoor,Central Universities,https://www.csu-guruvayoor.edu.in/,www.csu-guruvayoor.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Central University of Kerala,Kasaragod,Central Universities,https://www.cukerala.ac.in/,www.cukerala.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Indian Maritime University, Kochi Campus",Kochi,Central Universities,https://www.imu.edu.in/imunew/kochi-campus,www.imu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
A P J Abdul Kalam Technological University,Thiruvananthapuram,State Universities,https://ktu.edu.in/,ktu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Cochin University of Science and Technology,Kochi,State Universities,https://www.cusat.ac.in/,www.cusat.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Kerala Agricultural University,Thrissur,State Universities,https://kau.in/,kau.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Kerala University of Digital Sciences, Innovation and Technology",Thiruvananthapuram,State Universities,https://duk.ac.in/,duk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Kerala University of Fisheries and Ocean Studies,Kochi,State Universities,https://kufos.ac.in/,kufos.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Kerala University of Health Sciences,Thrissur,State Universities,https://kuhs.ac.in/,kuhs.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Kerala Veterinary and Animal Sciences University,Wayanad,State Universities,https://www.kvasu.ac.in/,www.kvasu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
National University of Advanced Legal Studies,Kochi,State Universities,https://www.nuals.ac.in/,www.nuals.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Sree Narayanaguru Open University,Kollam,State Universities,https://sgou.ac.in/,sgou.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Sree Sankaracharya University of Sanskrit,Kochi,State Universities,https://ssus.ac.in/,ssus.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Thunchath Ezhuthachan Malayalam University,Tirur,State Universities,https://malayalamuniversity.edu.in/,malayalamuniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Amrita Vishwa Vidyapeetham, Amritapuri Campus",Kollam,Deemed Universities,https://www.amrita.edu/campus/amritapuri/,www.amrita.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Amrita Vishwa Vidyapeetham, Kochi Campus",Kochi,Deemed Universities,https://www.amrita.edu/campus/kochi/,www.amrita.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Chinmaya Vishwavidyapeeth,Ernakulam,Deemed Universities,https://www.cvv.ac.in/,www.cvv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Indian Institute of Mass Communication, Southern Regional Centre",Kottayam,Deemed Universities,https://iimc.gov.in/kottayam-kerala-about-us,iimc.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Indian Institute of Space Science and Technology,Thiruvananthapuram,Deemed Universities,https://www.iist.ac.in/,www.iist.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Jain Deemed-to-be University,Ernakulam,Deemed Universities,https://www.jainuniversity.ac.in/kochi/,www.jainuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Kerala Kalamandalam,Thrissur,Deemed Universities,https://kalamandalam.ac.in/,kalamandalam.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"National Institute of Electronics & Information Technology, Calicut",Kozhikode,Deemed Universities,https://www.nielit.gov.in/calicut/,www.nielit.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Central Institute of Fisheries Technology,Kochi,Autonomous Institutions,https://www.cift.res.in/,www.cift.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Central Marine Fisheries Research Institute,Kochi,Autonomous Institutions,https://www.cmfri.org.in/,www.cmfri.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Centre for Development Studies,Thiruvananthapuram,Autonomous Institutions,https://cds.edu/,cds.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Indian Institute of Handloom Technology,Kannur,Autonomous Institutions,https://www.iihtkannur.org/,www.iihtkannur.org,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Indian Institute of Information Technology and Management, Kerala",Thiruvananthapuram,Autonomous Institutions,https://iiitmk.ac.in/,iiitmk.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Indian Institute of Information Technology, Kottayam",Kottayam,Autonomous Institutions,https://www.iiitkottayam.ac.in/,www.iiitkottayam.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Indian Institute of Management, Kozhikode",Kozhikode,Autonomous Institutions,https://www.iimk.ac.in/,www.iimk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Indian Institute of Science Education and Research,Thiruvananthapuram,Autonomous Institutions,https://www.iisertvm.ac.in/,www.iisertvm.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Indian Institute of Spices Research,Kozhikode,Autonomous Institutions,https://spices.res.in/,spices.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Indian Institute of Technology, Palakkad",Palakkad,Autonomous Institutions,https://iitpkd.ac.in/,iitpkd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Kerala Press Academy,Kochi,Autonomous Institutions,http://kma.ac.in/,kma.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"National Institute of Fashion Technology, Kannur",Kannur,Autonomous Institutions,https://www.nift.ac.in/kannur/,www.nift.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"National Institute of Technology, Calicut",Kozhikode,Autonomous Institutions,https://nitc.ac.in/,nitc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Rajiv Gandhi Centre for Biotechnology,Thiruvananthapuram,Autonomous Institutions,https://rgcb.res.in/,rgcb.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Regional Cancer Centre,Thiruvananthapuram,Autonomous Institutions,https://www.rcctvm.gov.in/,www.rcctvm.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Sree Chitra Tirunal Institute for Medical Sciences and Technology,Thiruvananthapuram,Autonomous Institutions,https://www.sctimst.ac.in/,www.sctimst.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
C.S.I College For Legal Studies Kanakkary,Kottayam,Law Colleges,https://csicls.ac.in/,csicls.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
Divine Law College,Pathanapuram,Law Colleges,https://www.divinelawcollege.com/,www.divinelawcollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Government Law College, Ernakulam",Ernakulam,Law Colleges,https://glcekm.ac.in/,glcekm.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Government Law College, Thrissur",Thrissur,Law Colleges,https://glcthrissur.com/,glcthrissur.com,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
"Government Law College, Trivandrum",Trivandrum,Law Colleges,http://www.glctvm.ac.in/,www.glctvm.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Kerala
