University Name,City,Category,Website,Website Domain,Confidence,Source
AUMP (Amity University),Gwalior,Universities,https://www.amity.edu/gwalior/,www.amity.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Atal Bihari Vajpayee Hindi Vishwavidyalaya,Bhopal,Universities,https://www.abvhv.edu.in/,www.abvhv.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Avantika University,Ujjain,Universities,https://www.avantikauniversity.edu.in/,www.avantikauniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Awadhesh Pratap Singh University,Rewa,Universities,https://apsurewa.ac.in/,apsurewa.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Barkatullah University,Bhopal,Universities,https://www.bubhopal.ac.in/,www.bubhopal.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
ITM University,Gwalior,Universities,https://www.itmuniversity.ac.in/,www.itmuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Indira Gandhi National Tribal University,Amarkantak,Universities,https://igntu.ac.in/,igntu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Jagran Lakecity University,Bhopal,Universities,https://www.jlu.edu.in/,www.jlu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Jawaharlal Nehru Agricultural University,Jabalpur,Universities,https://www.jnkvv.org/,www.jnkvv.org,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Jaypee University of Engineering and Technology,Guna,Universities,https://www.juet.ac.in/,www.juet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
LNCT Vidhyapeeth University,Indore,Universities,https://lnctvu.ac.in/,lnctvu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Madhya Pradesh Bhoj Open University,Bhopal,Universities,https://mpbou.edu.in/,mpbou.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Madhya Pradesh Medical Science University,Jabalpur,Universities,https://www.mpmsu.edu.in/,www.mpmsu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Mahakaushal University Jabalpur,Jabalpur,Universities,https://mku.ac.in/,mku.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Maharaja Chhatrasal Bundelkhand University,Chhatarpur,Universities,https://mcbu.ac.in/,mcbu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Katni,Universities,https://mmyvv.org/,mmyvv.org,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Maharishi Panini Sanskrit Evam Vedic Vishwavidyalaya,Ujjain,Universities,https://mpsvv.ac.in/,mpsvv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Mahatma Gandhi Chitrakoot Gramoday University,Chitrakoot,Universities,https://gramodayachitrakoot.ac.in/,gramodayachitrakoot.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Mandsaur University,Mandsaur,Universities,https://meu.edu.in/,meu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Mansarovar Global University,Bhopal,Universities,https://www.mguindia.com/,www.mguindia.com,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Nanaji Deshmukh Veterinary Science University,Jabalpur,Universities,https://ndvsu.org/,ndvsu.org,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
National Law Institute University,Bhopal,Universities,https://nliu.ac.in/,nliu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
PK University,Shivpuri,Universities,https://pkuniversity.edu.in/,pkuniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
Patel College of Science & Technology,Bhopal,Universities,https://www.patelcollege.com/,www.patelcollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Madhya_Pradesh
