University Name,City,Category,Website,Website Domain,Confidence,Source
Babasaheb Bhimrao Ambedkar University,Lucknow,Central Universities,https://www.bbau.ac.in/,www.bbau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Banaras Hindu University,Varanasi,Central Universities,https://www.bhu.ac.in/,www.bhu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Rajiv Gandhi National Aviation University,Raebareli,Central Universities,https://www.rgnau.ac.in/,www.rgnau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Rani Lakshmi Bai Central Agricultural University,Jhansi,Central Universities,https://rlbcau.ac.in/,rlbcau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Acharya Narendra Deva University of Agriculture and Technology,Faizabad,State Universities,https://www.nduat.org/,www.nduat.org,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Banda University of Agriculture and Technology,Banda,State Universities,https://buat.edu.in/,buat.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Bhatkhande Sanskriti Vishwavidyalaya,Lucknow,State Universities,https://bhatkhandeuniversity.ac.in/,bhatkhandeuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Chandra Shekhar Azad University of Agriculture & Technology,Kanpur,State Universities,https://csauk.ac.in/,csauk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Chhatrapati Shahu Ji Maharaj University,Kanpur,State Universities,https://csjmu.ac.in/,csjmu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Dr. A. P. J. Abdul Kalam Technical University,Lucknow,State Universities,https://aktu.ac.in/,aktu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Dr. Shakuntala Misra National Rehabilitation University,Lucknow,State Universities,https://dsmnru.ac.in/,dsmnru.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
Guru Jambheshwar University,Moradabad,State Universities,https://gjum.ac.in/,gjum.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Uttar_Pradesh
