University Name,City,Category,Website,Website Domain,Confidence,Source
"All India Institute of Medical Sciences, Awantipora",Pulwama,INI,,,low,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"All India Institute of Medical Sciences, Vijaypur",Samba,INI,https://www.aiimsjammu.edu.in/,www.aiimsjammu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Indian Institute of Management Jammu,Jammu,INI,https://www.iimj.ac.in/,www.iimj.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Indian Institute of Mass Communication, Jammu",Jammu,INI,https://iimc.gov.in/,iimc.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Indian Institute of Technology Jammu,Jammu,INI,https://www.iitjammu.ac.in/,www.iitjammu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
National Institute of Technology Srinagar,Srinagar,INI,https://nitsri.ac.in/,nitsri.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Central University of Jammu,Samba,University,https://www.cujammu.ac.in/,www.cujammu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Central University of Kashmir,Ganderbal,University,https://www.cukashmir.ac.in/,www.cukashmir.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Islamic University of Science and Technology,Awantipora,University,https://www.iust.ac.in/,www.iust.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,Srinagar,University,https://skuastkashmir.ac.in/,skuastkashmir.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Shri Mata Vaishno Devi University,Katra,University,https://smvdu.ac.in/,smvdu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
University of Kashmir,Srinagar,University,https://www.kashmiruniversity.net/,www.kashmiruniversity.net,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Central Institute of Temperate Horticulture,Srinagar,Research Institute,https://cith.icar.gov.in/,cith.icar.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Indian Institute of Integrative Medicine,Srinagar,Research Institute,https://iiim.res.in/,iiim.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Jammu Institute Of Ayurveda and Research,Jammu,Research Institute,https://www.jiarjammu.in/,www.jiarjammu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Jammu and Kashmir State Forest Research Institute,Srinagar,Research Institute,http://jksfri.nic.in/,jksfri.nic.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Regional Ayurveda Research Institute,Jammu,Research Institute,https://rarijammu.ccras.res.in/,rarijammu.ccras.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Acharya Shri Chander College of Medical Sciences,Jammu,Medical College,https://ascomscollege.com,ascomscollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Medical College, Anantnag",Anantnag,Medical College,https://www.gmcanantnag.net,www.gmcanantnag.net,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Medical College, Baramulla",Baramulla,Medical College,https://www.gmcbaramulla.com,www.gmcbaramulla.com,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Medical College, Doda",Doda,Medical College,https://gmcdoda.jk.gov.in,gmcdoda.jk.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Medical College, Handwara",Handwara,Medical College,https://gmchandwara.co.in/,gmchandwara.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Medical College, Kathua",Kathua,Medical College,https://www.gmckathua.in,www.gmckathua.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Medical College, Rajouri",Rajouri,Medical College,https://www.gmcrajouri.in,www.gmcrajouri.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Medical College, Udhampur",Udhampur,Medical College,https://gmcudhampur.in,gmcudhampur.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
IPHH College of Nursing and Allied Health Science,Jammu,Medical College,https://www.iphhnursingcollegejammu.org,www.iphhnursingcollegejammu.org,medium,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Sher-i-Kashmir Institute of Medical Sciences,Srinagar,Medical College,https://www.skims.ac.in,www.skims.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Shri Mata Vaishno Devi Institute of Medical Excellence,Katra,Medical College,https://www.smvdime.in,www.smvdime.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Bhargava College of Engineering and Technology,Samba,Engineering College,http://www.bcetsamba.in/,www.bcetsamba.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"College of Engineering and Technology, IUST",Awantipora,Engineering College,https://www.iust.ac.in,www.iust.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government College of Engineering and Technology, Jammu",Jammu,Engineering College,https://gcetj.ac.in/,gcetj.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government College of Engineering and Technology, Zukura",Srinagar,Engineering College,https://gcetkashmir.ac.in,gcetkashmir.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Hindustan Computer Institute,Kathua,Engineering College,https://hciindia.in/,hciindia.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Institute of Technology, Zukura Campus",Srinagar,Engineering College,https://iot.uok.edu.in,iot.uok.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Mahant Bachittar Singh College of Engineering and Technology,Jammu,Engineering College,https://www.mbscet.edu.in,www.mbscet.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Model Institute of Engineering and Technology, Jammu",Jammu,Engineering College,https://mietjmu.in,mietjmu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"National Institute of Electronics & Information Technology, Srinagar",Srinagar,Engineering College,https://www.nielit.gov.in/srinagar/,www.nielit.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"University Institute of Engineering and Technology, Kathua",Kathua,Engineering College,https://uiet.kathuacampus.in/,uiet.kathuacampus.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Yogananda College of Engineering and Technology,Jammu,Engineering College,https://www.ycet.org,www.ycet.org,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Al Ahad College of Education,Anantnag,Other College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Aviation & Management Training Establishment,Srinagar,Other College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Food Craft Institute, Jammu",Jammu,Other College,http://www.fcijammu.org/,www.fcijammu.org,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government PG College, Rajouri",Rajouri,Other College,https://www.gpgcollegerajouri.ac.in/,www.gpgcollegerajouri.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Polytechnic College, Anantnag",Anantnag,Other College,https://govtpolyanantnag.org/,govtpolyanantnag.org,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Government Women College, Anantnag",Anantnag,Other College,https://wca.edu.in/,wca.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Govt. MAM PG College,Jammu,Other College,https://mamcollegejammu.in/,mamcollegejammu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Indian Institute of Skiing and Mountaineering,Gulmarg,Other College,https://www.iismgulmarg.in/,www.iismgulmarg.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Institute of Engineering Technology and Research, Jammu",Jammu,Other College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
"Institute of Hotel Management, Srinagar",Srinagar,Other College,http://ihmsrinagar.edu.in/,ihmsrinagar.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Iqbal Institute of Technology and Management,Srinagar,Other College,https://iitm.edu.in/,iitm.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Jawahar Institute of Mountaineering and Winter Sports,Pahalgam,Other College,https://www.jawaharinstitutepahalgam.com/,www.jawaharinstitutepahalgam.com,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
Kashmir Institute of Medical Sciences and Technology,Srinagar,Other College,https://www.kashmirinstitute.edu.in/,www.kashmirinstitute.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Jammu_and_Kashmir
