University Name,City,Category,Website,Website Domain,Confidence,Source
Punjab Engineering College,Chandigarh,Universities,https://pec.ac.in/,pec.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Chandigarh College of Architecture,Chandigarh,Colleges,http://cca.edu.in/,cca.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Chandigarh College of Engineering and Technology,Chandigarh,Colleges,https://www.ccet.ac.in/,www.ccet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Dev Samaj College for Women,Chandigarh,Colleges,https://www.dscw45.ac.in/,www.dscw45.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Dev Samaj College of Education,Chandigarh,Colleges,https://www.devsamaj.org/,www.devsamaj.org,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
"Dr. Ambedkar Institute of Hotel Management, Catering and Nutrition",Chandigarh,Colleges,https://www.ihmchandigarh.org/,www.ihmchandigarh.org,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Dr. Harvansh Singh Judge Institute of Dental Sciences & Hospital,Chandigarh,Colleges,https://dentalsciences.puchd.ac.in/,dentalsciences.puchd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Goswami Ganesh Dutta Sanatan Dharma College,Chandigarh,Colleges,https://ggdsd.ac.in/,ggdsd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
"Government College for Girls, Chandigarh",Chandigarh,Colleges,https://www.gcg42.ac.in/,www.gcg42.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
"Government College of Art, Chandigarh",Chandigarh,Colleges,https://www.gcart.co.in/,www.gcart.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
"Government College of Education, Chandigarh",Chandigarh,Colleges,https://www.gcechd.ac.in/,www.gcechd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Government College of Yoga Education and Health,Chandigarh,Colleges,https://www.gcyeh.edu.in/,www.gcyeh.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Government Home Science College,Chandigarh,Colleges,https://www.homescience10.ac.in/,www.homescience10.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Government Rehabilitation Institute for Intellectual Disabilities,Chandigarh,Colleges,https://www.griid.edu.in/,www.griid.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Guru Gobind Singh College for Women,Chandigarh,Colleges,https://ggscw.ac.in/,ggscw.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
"Homoeopathic Medical College & Hospital, Chandigarh",Chandigarh,Colleges,https://www.hmcchd26.com/,www.hmcchd26.com,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Indian Institute of Fashion and Design,Chandigarh,Colleges,https://iifd.in/,iifd.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Indo Global Colleges,Chandigarh,Colleges,https://www.igef.net/,www.igef.net,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
"Institute for the Blind, Chandigarh",Chandigarh,Colleges,https://instituteforblind.org/,instituteforblind.org,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Institute of Microbial Technology,Chandigarh,Colleges,https://www.imtech.res.in/,www.imtech.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Mehr Chand Mahajan DAV College for Women,Chandigarh,Colleges,https://mcmdavcwchd.edu.in/,mcmdavcwchd.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
"National Institute of Technical Teachers Training & Research, Chandigarh",Chandigarh,Colleges,https://www.nitttrchd.ac.in/,www.nitttrchd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Post Graduate Government College for Girls,Chandigarh,Colleges,https://gcg11.ac.in/,gcg11.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
"Post Graduate Government College, Sector 11",Chandigarh,Colleges,https://www.gc11.ac.in/,www.gc11.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Regional Institute of English,Chandigarh,Colleges,http://www.rieni.org/,www.rieni.org,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Shri Dhanwantri Ayurvedic College & Hospital,Chandigarh,Colleges,https://www.sdach.ac.in/,www.sdach.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Universal Institute of Engineering Technology,Chandigarh,Colleges,https://www.ugi.ac.in/universal-institute-of-engineering-and-technology,www.ugi.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
Universal Institute of Nursing,Chandigarh,Colleges,https://www.ugi.ac.in/b-sc-nursing,www.ugi.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Chandigarh
