University Name,City,Category,Website,Website Domain,Confidence,Source
Central University of Gujarat,Vadodara,Central Universities,https://www.cug.ac.in/,www.cug.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
Gati Shakti Vishwavidyalaya,Vadodara,Central Universities,https://gsv.ac.in/,gsv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
"All India Institute of Medical Sciences, Rajkot",Rajkot,Institute of National Importance,https://aiimsrajkot.edu.in/,aiimsrajkot.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
"Indian Institute of Information Technology, Surat",Surat,Institute of National Importance,https://www.iiitsurat.ac.in/,www.iiitsurat.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
"Indian Institute of Information Technology, Vadodara",Vadodara,Institute of National Importance,https://iiitvadodara.ac.in/,iiitvadodara.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
"Indian Institute of Management, Ahmedabad",Ahmedabad,Institute of National Importance,https://www.iima.ac.in/,www.iima.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
"Indian Institute of Technology, Gandhinagar",Gandhinagar,Institute of National Importance,https://iitgn.ac.in/,iitgn.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
Institute of Teaching and Research in Ayurveda,Jamnagar,Institute of National Importance,https://itra.ac.in/,itra.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
National Forensic Sciences University,Gandhinagar,Institute of National Importance,https://www.nfsu.ac.in/,www.nfsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
"National Institute of Design, Ahmedabad",Ahmedabad,Institute of National Importance,https://www.nid.edu/,www.nid.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
"National Institute of Pharmaceutical Education and Research, Ahmedabad",Ahmedabad,Institute of National Importance,https://niperahm.ac.in/,niperahm.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
Rashtriya Raksha University,Gandhinagar,Institute of National Importance,https://rru.ac.in/,rru.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
"Sardar Vallabhbhai National Institute of Technology, Surat",Surat,Institute of National Importance,https://www.svnit.ac.in/,www.svnit.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
Anand Agricultural University,Anand,State Universities,https://aau.in/,aau.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
Bhakta Kavi Narsinh Mehta University,Junagadh,State Universities,https://www.bknmu.edu.in/,www.bknmu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Gujarat
