domain,state,category,portal_url,state_aliases,note
aktu.ac.in,Uttar Pradesh,Student Portal,https://erp.aktu.ac.in/,"uttar pradesh, up, u.p.",AKTU ERP — centralized portal for 750+ UP-affiliated engineering/pharmacy colleges
ccsuniversity.ac.in,Uttar Pradesh,Student Portal,https://ccsuniversity.samarth.edu.in/index.php/site/login,"uttar pradesh, up, u.p., meerut, western up, hapur, ghaziabad, muzaffarnagar, baghpat","CCSU Samarth — Chaudhary Charan Singh University Meerut, for 700+ affiliated colleges in western UP region"
abvmu.edu.in,Uttar Pradesh,Student Portal,https://abvmu.samarth.edu.in/index.php/site/login,"uttar pradesh, up, u.p.","ABVMU Samarth — Atal Bihari Vajpayee Medical University Lucknow, for medical colleges in UP"
lkouniv.ac.in,Uttar Pradesh,Student Portal,https://lu.samarth.edu.in/index.php/site/login,"uttar pradesh, up, u.p., lucknow, sitapur, lakhimpur","LU Samarth — University of Lucknow, for affiliated colleges in Lucknow region"
gndu.ac.in,Punjab,Student Portal,https://slc.gndu.ac.in/Integration/StudentArea/login.aspx,"punjab, haryana, amritsar, chandigarh, himachal pradesh, jammu and kashmir",GNDU SLC — Guru Nanak Dev University Amritsar centralized portal for affiliated colleges across Punjab and Haryana
gtu.ac.in,Gujarat,Student Portal,https://gtu.samarth.edu.in/index.php/site/login,"gujarat, gj, ahmedabad, gandhinagar, surat, vadodara, rajkot, bhavnagar",GTU Samarth — Gujarat Technological University centralized portal for affiliated engineering / pharmacy colleges across Gujarat
mjpru.ac.in,Uttar Pradesh,Student Portal,https://mjpru.samarth.edu.in/index.php/site/login,"uttar pradesh, up, u.p., bareilly, rohilkhand, shahjahanpur, pilibhit, badaun",MJP Rohilkhand University Bareilly Samarth (unverified — Phase 3.5 probe)
vbspu.ac.in,Uttar Pradesh,Student Portal,https://vbspu.samarth.edu.in/index.php/site/login,"uttar pradesh, up, u.p., jaunpur, ghazipur, mau, azamgarh",Veer Bahadur Singh Purvanchal University Jaunpur Samarth (unverified — Phase 3.5 probe)
ddugorakhpuruniversity.ac.in,Uttar Pradesh,Student Portal,https://ddugu.samarth.edu.in/index.php/site/login,"uttar pradesh, up, u.p., gorakhpur, deoria, kushinagar, maharajganj",DDU Gorakhpur University Samarth (unverified — Phase 3.5 probe)
mgkvp.ac.in,Uttar Pradesh,Student Portal,https://mgkvp.samarth.edu.in/index.php/site/login,"uttar pradesh, up, u.p., varanasi, kashi, mirzapur, sonbhadra, chandauli",Mahatma Gandhi Kashi Vidyapith Varanasi Samarth (unverified — Phase 3.5 probe)
unipune.ac.in,Maharashtra,Student Portal,https://unipune.samarth.edu.in/index.php/site/login,"maharashtra, mh, pune, ahmednagar, nashik",Savitribai Phule Pune University Samarth (unverified — Phase 3.5 probe)
mu.ac.in,Maharashtra,Student Portal,https://mu.samarth.edu.in/index.php/site/login,"maharashtra, mh, mumbai, thane, raigad, ratnagiri, sindhudurg, palghar, konkan",University of Mumbai Samarth (unverified — Phase 3.5 probe)
nagpuruniversity.ac.in,Maharashtra,Student Portal,https://nagpuruniversity.samarth.edu.in/index.php/site/login,"maharashtra, mh, nagpur, wardha, bhandara, gondia, chandrapur, gadchiroli, vidarbha",RTM Nagpur University Samarth (unverified — Phase 3.5 probe)
nmu.ac.in,Maharashtra,Student Portal,https://nmu.samarth.edu.in/index.php/site/login,"maharashtra, mh, jalgaon, dhule, nandurbar, khandesh",KBC North Maharashtra University Jalgaon Samarth (unverified — Phase 3.5 probe)
bamu.ac.in,Maharashtra,Student Portal,https://bamu.samarth.edu.in/index.php/site/login,"maharashtra, mh, aurangabad, chhatrapati sambhajinagar, jalna, beed, osmanabad, marathwada",Dr. Babasaheb Ambedkar Marathwada University Aurangabad Samarth (unverified — Phase 3.5 probe)
srtmun.ac.in,Maharashtra,Student Portal,https://srtmun.samarth.edu.in/index.php/site/login,"maharashtra, mh, nanded, latur, parbhani, hingoli",Swami Ramanand Teerth Marathwada University Nanded Samarth (unverified — Phase 3.5 probe)
ycmou.digitaluniversity.ac,Maharashtra,Student Portal,https://ycmou.digitaluniversity.ac,"maharashtra, mh, nashik, ycmou",Yashwantrao Chavan Maharashtra Open University Nashik (DigitalUniversity tenant; unverified — Phase 3.5 probe)
uniraj.ac.in,Rajasthan,Student Portal,https://uniraj.samarth.edu.in/index.php/site/login,"rajasthan, rj, jaipur, dausa, sikar, alwar",University of Rajasthan Jaipur Samarth (unverified — Phase 3.5 probe)
mdsuajmer.ac.in,Rajasthan,Student Portal,https://mdsu.samarth.edu.in/index.php/site/login,"rajasthan, rj, ajmer, tonk, bhilwara, nagaur",Maharshi Dayanand Saraswati University Ajmer Samarth (unverified — Phase 3.5 probe)
mgsubikaner.ac.in,Rajasthan,Student Portal,https://mgsu.samarth.edu.in/index.php/site/login,"rajasthan, rj, bikaner, ganganagar, hanumangarh, churu",Maharaja Ganga Singh University Bikaner Samarth (unverified — Phase 3.5 probe)
jnvu.ac.in,Rajasthan,Student Portal,https://jnvu.samarth.edu.in/index.php/site/login,"rajasthan, rj, jodhpur, barmer, jaisalmer, pali",Jai Narain Vyas University Jodhpur Samarth (unverified — Phase 3.5 probe)
annauniv.edu,Tamil Nadu,Student Portal,https://annauniv.samarth.edu.in/index.php/site/login,"tamil nadu, tamilnadu, tn, chennai, coimbatore, trichy, tiruchirappalli, tirunelveli, madurai, salem",Anna University Chennai Samarth (unverified — Phase 3.5 probe)
bharathidasan.ac.in,Tamil Nadu,Student Portal,https://bdu.samarth.edu.in/index.php/site/login,"tamil nadu, tamilnadu, tn, trichy, tiruchirappalli, thanjavur, pudukkottai, perambalur",Bharathidasan University Tiruchirappalli Samarth (unverified — Phase 3.5 probe)
bharathiar.ac.in,Tamil Nadu,Student Portal,https://bu.samarth.edu.in/index.php/site/login,"tamil nadu, tamilnadu, tn, coimbatore, tirupur, erode, nilgiris",Bharathiar University Coimbatore Samarth (unverified — Phase 3.5 probe)
msuniv.ac.in,Tamil Nadu,Student Portal,https://msu.samarth.edu.in/index.php/site/login,"tamil nadu, tamilnadu, tn, tirunelveli, thoothukudi, kanyakumari",Manonmaniam Sundaranar University Tirunelveli Samarth (unverified — Phase 3.5 probe)
vtu.ac.in,Karnataka,Student Portal,https://vtu.samarth.edu.in/index.php/site/login,"karnataka, ka, bangalore, bengaluru, mysore, mysuru, belagavi, belgaum, mangalore, hubli, dharwad",Visvesvaraya Technological University Belagavi Samarth (unverified — Phase 3.5 probe)
bangaloreuniversity.ac.in,Karnataka,Student Portal,https://bangaloreuniversity.samarth.edu.in/index.php/site/login,"karnataka, ka, bangalore, bengaluru, kolar, ramanagara",Bangalore University Samarth (unverified — Phase 3.5 probe)
kud.ac.in,Karnataka,Student Portal,https://kud.samarth.edu.in/index.php/site/login,"karnataka, ka, dharwad, hubli, gadag, haveri, uttara kannada",Karnatak University Dharwad Samarth (unverified — Phase 3.5 probe)
jntua.ac.in,Andhra Pradesh,Student Portal,https://jntua.samarth.edu.in/index.php/site/login,"andhra pradesh, ap, a.p., anantapur, kurnool, kadapa, chittoor, rayalaseema",Jawaharlal Nehru Technological University Anantapur Samarth (unverified — Phase 3.5 probe)
jntuk.edu.in,Andhra Pradesh,Student Portal,https://jntuk.samarth.edu.in/index.php/site/login,"andhra pradesh, ap, a.p., kakinada, east godavari, west godavari, krishna, guntur",Jawaharlal Nehru Technological University Kakinada Samarth (unverified — Phase 3.5 probe)
andhrauniversity.edu.in,Andhra Pradesh,Student Portal,https://andhrauniversity.samarth.edu.in/index.php/site/login,"andhra pradesh, ap, a.p., visakhapatnam, vizag, vizianagaram, srikakulam",Andhra University Visakhapatnam Samarth (unverified — Phase 3.5 probe)
osmania.ac.in,Telangana,Student Portal,https://osmania.samarth.edu.in/index.php/site/login,"telangana, ts, hyderabad, secunderabad, ranga reddy, medak",Osmania University Hyderabad Samarth (unverified — Phase 3.5 probe)
jntuh.ac.in,Telangana,Student Portal,https://jntuh.samarth.edu.in/index.php/site/login,"telangana, ts, hyderabad, rangareddy, ranga reddy, medak, mahbubnagar",JNTU Hyderabad Samarth (unverified — Phase 3.5 probe)
kakatiya.ac.in,Telangana,Student Portal,https://ku.samarth.edu.in/index.php/site/login,"telangana, ts, warangal, karimnagar, khammam, nizamabad, adilabad",Kakatiya University Warangal Samarth (unverified — Phase 3.5 probe)
gujaratuniversity.ac.in,Gujarat,Student Portal,https://gujaratuniversity.samarth.edu.in/index.php/site/login,"gujarat, gj, ahmedabad, gandhinagar, kheda, mehsana",Gujarat University Ahmedabad Samarth (unverified — Phase 3.5 probe)
vnsgu.ac.in,Gujarat,Student Portal,https://vnsgu.samarth.edu.in/index.php/site/login,"gujarat, gj, surat, navsari, valsad, tapi, south gujarat",Veer Narmad South Gujarat University Surat Samarth (unverified — Phase 3.5 probe)
spuvvn.edu,Gujarat,Student Portal,https://spu.samarth.edu.in/index.php/site/login,"gujarat, gj, anand, vallabh vidyanagar, kheda, central gujarat",Sardar Patel University Vallabh Vidyanagar Samarth (unverified — Phase 3.5 probe)
rdunijbpin.org,Madhya Pradesh,Student Portal,https://rdunijbpin.samarth.edu.in/index.php/site/login,"madhya pradesh, mp, m.p., jabalpur, katni, narsinghpur, mandla",Rani Durgavati University Jabalpur Samarth (unverified — Phase 3.5 probe)
vikramuniv.ac.in,Madhya Pradesh,Student Portal,https://vikramuniv.samarth.edu.in/index.php/site/login,"madhya pradesh, mp, m.p., ujjain, ratlam, mandsaur, neemuch",Vikram University Ujjain Samarth (unverified — Phase 3.5 probe)
davv.ac.in,Madhya Pradesh,Student Portal,https://davv.samarth.edu.in/index.php/site/login,"madhya pradesh, mp, m.p., indore, dewas, dhar, jhabua, khargone",Devi Ahilya Vishwavidyalaya Indore Samarth (unverified — Phase 3.5 probe)
wbut.ac.in,West Bengal,Student Portal,https://makaut.samarth.edu.in/index.php/site/login,"west bengal, wb, kolkata, calcutta, howrah, haldia, siliguri, kalyani",Maulana Abul Kalam Azad University of Technology (MAKAUT/WBUT) Samarth (unverified — Phase 3.5 probe)
caluniv.ac.in,West Bengal,Student Portal,https://caluniv.samarth.edu.in/index.php/site/login,"west bengal, wb, kolkata, calcutta, howrah, hooghly, north 24 parganas, south 24 parganas",University of Calcutta Samarth (unverified — Phase 3.5 probe)
brabu.ac.in,Bihar,Student Portal,https://brabu.samarth.edu.in/index.php/site/login,"bihar, br, muzaffarpur, sitamarhi, vaishali, sheohar, east champaran, west champaran",Babasaheb Bhimrao Ambedkar Bihar University Muzaffarpur Samarth (unverified — Phase 3.5 probe)
lnmu.ac.in,Bihar,Student Portal,https://lnmu.samarth.edu.in/index.php/site/login,"bihar, br, darbhanga, madhubani, samastipur, begusarai, mithila",Lalit Narayan Mithila University Darbhanga Samarth (unverified — Phase 3.5 probe)
magadhuniversity.ac.in,Bihar,Student Portal,https://magadhuniversity.samarth.edu.in/index.php/site/login,"bihar, br, gaya, nalanda, aurangabad, jehanabad, nawada",Magadh University Bodh Gaya Samarth (unverified — Phase 3.5 probe)
