University Name,City,Category,Website,Website Domain,Confidence,Source
Asian International University,Imphal,University,https://aiu.edu.in/,aiu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Bir Tikendrajit University,Imphal,University,https://www.birtikendrajituniversity.ac.in/,www.birtikendrajituniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Manipur International University,Imphal,University,https://www.miu.edu.in/,www.miu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Manipur Technical University,Imphal,University,https://mtu.ac.in/,mtu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Manipur University,Imphal,University,https://www.manipuruniv.ac.in/,www.manipuruniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Manipur University of Culture,Imphal,University,https://muc.ac.in/,muc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
National Forensic Sciences University,Imphal,University,https://manipur.nfsu.ac.in/,manipur.nfsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
National Sports University,Imphal,University,https://www.nsu.ac.in/,www.nsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Sangai International University,Churachandpur,University,https://www.sangaiinternationaluniversity.com/,www.sangaiinternationaluniversity.com,medium,wikipedia:List_of_institutions_of_higher_education_in_Manipur
"Indian Institute of Information Technology, Manipur",Imphal,Autonomous,https://www.iiitmanipur.ac.in/,www.iiitmanipur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
"National Institute of Electronics and Information Technology, Imphal",Imphal,Autonomous,https://www.nielit.gov.in/imphal/,www.nielit.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
"National Institute of Technology, Manipur",Imphal,Autonomous,https://nitmanipur.ac.in/,nitmanipur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Manipur Institute of Technology,Imphal,Technical Institute,https://mitimphal.manipuruniv.ac.in/,mitimphal.manipuruniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Churachandpur Medical College,Churachandpur,Medical College,https://www.cmcmanipur.nic.in/,www.cmcmanipur.nic.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Jawaharlal Nehru Institute of Medical Sciences,Imphal,Medical College,https://jnims.nic.in/,jnims.nic.in,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
Shija Academy of Health Sciences,Imphal,Medical College,https://www.shijaacademy.com/,www.shijaacademy.com,high,wikipedia:List_of_institutions_of_higher_education_in_Manipur
