University Name,City,Category,Website,Website Domain,Confidence,Source
Indian Institute of Information Technology,Raichur,Institutes of National Importance,https://iiitr.ac.in/,iiitr.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Indian Institute of Management Bangalore,Bengaluru,Institutes of National Importance,https://www.iimb.ac.in/,www.iimb.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Indian Institute of Technology Dharwad,Dharwad,Institutes of National Importance,https://www.iitdh.ac.in/,www.iitdh.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
National Institute of Mental Health and Neurosciences,Bengaluru,Institutes of National Importance,https://nimhans.ac.in/,nimhans.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
National Institute of Technology Surathkal,Mangaluru,Institutes of National Importance,https://www.nitk.ac.in/,www.nitk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Indian Institute of Science,Bengaluru,Institutes of Eminence,https://iisc.ac.in/,iisc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Central University of Karnataka,Kalaburagi,Central Universities,https://www.cuk.ac.in/,www.cuk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Bagalkot University,Bagalkot,State Universities,https://bgku.ac.in/,bgku.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Bengaluru Dr. B. R. Ambedkar School of Economics University,Bengaluru,State Universities,https://base.ac.in/,base.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Bengaluru North University,Bengaluru,State Universities,https://bnu.karnataka.gov.in/english,bnu.karnataka.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Bidar University,Bidar,State Universities,https://bidaruniversity.karnataka.gov.in/en,bidaruniversity.karnataka.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Gulbarga University,Kalaburgi,State Universities,https://gug.ac.in/,gug.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Kannada University,Hampi,State Universities,https://kannadauniversity.org/english/,kannadauniversity.org,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Karnataka Folklore University,Shiggavi,State Universities,https://www.janapadauniversity.ac.in/English/,www.janapadauniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Karnataka Samskrit University,Bengaluru,State Universities,https://ksu.ac.in/,ksu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Karnataka State Dr. Gangubhai Hangal Music and Performing Arts University,Mysuru,State Universities,https://musicuniversity.ac.in/,musicuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Karnataka State Law University,Hubballi,State Universities,https://kslu.karnataka.gov.in/english,kslu.karnataka.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Karnataka State Rural Development and Panchayat Raj University,Gadag,State Universities,https://ksrdpru.ac.in/en/,ksrdpru.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Karnataka State Women's University,Vijayapura,State Universities,http://www.ka.kswu.ac.in/,www.ka.kswu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
"Karnataka Veterinary, Animal and Fisheries Sciences University",Bidar,State Universities,https://kvafsu.edu.in/,kvafsu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Kodagu University,Kushalnagar,State Universities,https://kuk.karnataka.gov.in/,kuk.karnataka.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Mandya University,Mandya,State Universities,https://mandyauniversity.ac.in/,mandyauniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
National Law School of India University,Bengaluru,State Universities,https://www.nls.ac.in/,www.nls.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Raichur University,Raichur,State Universities,https://raichuruniversity.ac.in/,raichuruniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
Tumkur University,Tumkuru,State Universities,https://tumkuruniversity.ac.in/,tumkuruniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
"University of Agricultural Sciences, Dharwad",Dharwad,State Universities,https://uasd.edu/en/,uasd.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
"University of Agricultural Sciences, Raichur",Raichur,State Universities,https://uasraichur.karnataka.gov.in/,uasraichur.karnataka.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Karnataka
