University Name,City,Category,Website,Website Domain,Confidence,Source
Captain Williamson Sangma State University,Tura,State University,https://cwssu.ac.in/,cwssu.ac.in,high,wikipedia:Education_in_Meghalaya
CMJ University,Shillong,Private University,https://www.cmjumeghalaya.edu.in/,www.cmjumeghalaya.edu.in,low,wikipedia:Education_in_Meghalaya
"ICFAI University, Meghalaya",Tura,Private University,https://www.iumeghalaya.edu.in/,www.iumeghalaya.edu.in,high,wikipedia:Education_in_Meghalaya
"MIT University, Meghalaya",Shillong,Private University,https://mituniversityindia.edu.in/,mituniversityindia.edu.in,high,wikipedia:Education_in_Meghalaya
"Mahatma Gandhi University, Meghalaya",Khanapara,Private University,https://www.mgu.edu.in/,www.mgu.edu.in,high,wikipedia:Education_in_Meghalaya
Martin Luther Christian University,Shillong,Private University,https://www.mlcuniv.in/,www.mlcuniv.in,high,wikipedia:Education_in_Meghalaya
Northeast Adventist University,Shillong,Private University,https://www.neauniversity.in/,www.neauniversity.in,medium,wikipedia:Education_in_Meghalaya
"Techno Global University, Meghalaya",Shillong,Private University,https://www.technoglobaluniversity.com/,www.technoglobaluniversity.com,high,wikipedia:Education_in_Meghalaya
"William Carey University, Meghalaya",Shillong,Private University,https://williamcareyuniversity.ac.in/,williamcareyuniversity.ac.in,medium,wikipedia:Education_in_Meghalaya
Indian Institute of Management Shillong,Shillong,INI,https://www.iimshillong.ac.in/,www.iimshillong.ac.in,high,wikipedia:Education_in_Meghalaya
"Institute of Hotel Management, Shillong",Shillong,INI,https://ihmshillong.nic.in/,ihmshillong.nic.in,high,wikipedia:Education_in_Meghalaya
"National Institute of Fashion Technology, Shillong",Shillong,INI,https://www.nift.ac.in/shillong/,www.nift.ac.in,high,wikipedia:Education_in_Meghalaya
National Institute of Technology Meghalaya,Shillong,INI,https://www.nitm.ac.in/,www.nitm.ac.in,high,wikipedia:Education_in_Meghalaya
"National Law University, Meghalaya",Shillong,INI,https://www.nlumeg.ac.in/,www.nlumeg.ac.in,high,wikipedia:Education_in_Meghalaya
North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences,Shillong,Medical College,https://neigrihms.gov.in/,neigrihms.gov.in,high,wikipedia:Education_in_Meghalaya
North Eastern Institute of Ayurveda and Homeopathy,Shillong,Medical College,https://neiah.nic.in/,neiah.nic.in,high,wikipedia:Education_in_Meghalaya
Acheng Rangmanpa College,Mahendraganj,College,,,low,wikipedia:Education_in_Meghalaya
Mendipathar College,Mendipathar,College,https://mendipatharcollege.com/,mendipatharcollege.com,high,wikipedia:Education_in_Meghalaya
Nongstoin College,Nongstoin,College,https://nongstoincollege.ac.in/,nongstoincollege.ac.in,high,wikipedia:Education_in_Meghalaya
