University Name,City,Category,Website,Website Domain,Confidence,Source
"All India Institute of Medical Sciences, Madurai",Madurai,Institutes of National Importance,https://aiimsmadurai.edu.in/,aiimsmadurai.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",Chennai,Institutes of National Importance,https://www.iiitdm.ac.in/,www.iiitdm.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
"Indian Institute of Information Technology, Tiruchirappalli",Tiruchirappalli,Institutes of National Importance,https://iiitt.ac.in/,iiitt.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
"Indian Institute of Management, Tiruchirappalli",Tiruchirappalli,Institutes of National Importance,https://www.iimtrichy.ac.in/,www.iimtrichy.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
"Indian Institute of Technology, Madras",Chennai,Institutes of National Importance,https://www.iitm.ac.in/,www.iitm.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Kalakshetra Foundation,Chennai,Institutes of National Importance,https://kalakshetra.in/,kalakshetra.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
"National Institute of Food Technology, Entrepreneurship and Management, Thanjavur",Thanjavur,Institutes of National Importance,https://niftem-t.ac.in/,niftem-t.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Institutes of National Importance,https://www.nitt.edu/,www.nitt.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Rajiv Gandhi National Institute of Youth Development,Sriperumbudur,Institutes of National Importance,https://www.rgniyd.gov.in/,www.rgniyd.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Central University of Tamil Nadu,Tiruvarur,Central Universities,https://cutn.ac.in/,cutn.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Alagappa University,Karaikudi,State Universities,https://alagappauniversity.ac.in/,alagappauniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Anna University,Chennai,State Universities,https://www.annauniv.edu/,www.annauniv.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Bharathiar University,Coimbatore,State Universities,https://b-u.ac.in/,b-u.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Madurai Kamaraj University,Madurai,State Universities,https://mkuniversity.ac.in/,mkuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Mother Teresa Women's University,Kodaikanal,State Universities,https://www.motherteresawomenuniv.ac.in/,www.motherteresawomenuniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Tamil Nadu Agricultural University,Coimbatore,State Universities,https://tnau.ac.in/,tnau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Tamil Nadu Dr. J. Jayalalithaa Fisheries University,Nagapattinam,State Universities,https://www.tnjfu.ac.in/,www.tnjfu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Tamil Nadu National Law University,Tiruchirappalli,State Universities,https://tnnlu.ac.in/,tnnlu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Tamil Nadu Physical Education and Sports University,Chennai,State Universities,https://www.tnpesu.org/,www.tnpesu.org,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Tamil Nadu Teachers Education University,Chennai,State Universities,https://www.tnteu.ac.in/,www.tnteu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Tamil Nadu Veterinary and Animal Sciences University,Chennai,State Universities,https://www.tanuvas.ac.in/,www.tanuvas.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Tamil University,Thanjavur,State Universities,https://www.tamiluniversity.ac.in/,www.tamiluniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
The Tamil Nadu Dr. Ambedkar Law University,Chennai,State Universities,https://www.tndalu.ac.in/,www.tndalu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
The Tamil Nadu Dr. J. Jayalalithaa Music and Fine Arts University,Chennai,State Universities,https://tnjjmfau.in/,tnjjmfau.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
The Tamil Nadu Dr. M.G.R. Medical University,Chennai,State Universities,https://www.tnmgrmu.ac.in/,www.tnmgrmu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Thiruvalluvar University,Vellore,State Universities,https://www.tvu.edu.in/,www.tvu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Amrita Vishwa Vidyapeetham,Coimbatore,Deemed Universities,https://www.amrita.edu/,www.amrita.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore,Deemed Universities,https://avinuty.ac.in/,avinuty.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Deemed Universities,https://crescent.education/,crescent.education,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Chennai Mathematical Institute,Kelambakkam,Deemed Universities,https://www.cmi.ac.in/,www.cmi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Hindustan Institute of Technology and Science,Chennai,Deemed Universities,https://hindustanuniv.ac.in/,hindustanuniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Kalasalingam Academy of Research and Education,Krishnankoil,Deemed Universities,https://www.kalasalingam.ac.in/,www.kalasalingam.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Karpagam Academy of Higher Education,Coimbatore,Deemed Universities,https://kahedu.edu.in/,kahedu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Karunya Institute of Technology and Sciences,Coimbatore,Deemed Universities,https://www.karunya.edu/,www.karunya.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Meenakshi Academy of Higher Education and Research,Chennai,Deemed Universities,https://maher.ac.in/,maher.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Noorul Islam Centre for Higher Education,Kumaracoil,Deemed Universities,https://www.niuniv.com/,www.niuniv.com,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Periyar Maniammai Institute of Science & Technology,Thanjavur,Deemed Universities,https://pmu.edu/,pmu.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
Ponnaiyah Ramajayam Institute of Science and Technology,Thanjavur,Deemed Universities,https://www.prist.ac.in/,www.prist.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
SRM Institute of Science and Technology,Kattankulathur,Deemed Universities,https://www.srmist.edu.in/,www.srmist.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Tamil_Nadu
