University Name,City,Category,Website,Website Domain,Confidence,Source
AIIMS Rewari,Rewari,Institutes of National Importance,https://aiimsrewari.edu.in,aiimsrewari.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Central Research Institute of Yoga & Naturopathy,Jhajjar,Institutes of National Importance,,,low,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Footwear Design and Development Institute,Rohtak,Institutes of National Importance,https://www.fddiindia.com,www.fddiindia.com,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
IIIT Sonepat,Sonepat,Institutes of National Importance,https://iiitsonepat.ac.in,iiitsonepat.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
IIM Rohtak,Rohtak,Institutes of National Importance,https://www.iimrohtak.ac.in,www.iimrohtak.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
"IIT Delhi, Sonipat Campus",Sonipat,Institutes of National Importance,https://home.iitd.ac.in,home.iitd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
National Brain Research Centre,Gurugram,Institutes of National Importance,https://www.nbrc.ac.in,www.nbrc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
National Dairy Research Institute,Karnal,Institutes of National Importance,https://www.ndri.res.in,www.ndri.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
"National Institute of Design, Kurukshetra",Kurukshetra,Institutes of National Importance,https://www.nidh.ac.in,www.nidh.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
"National Institute of Fashion Technology, Panchkula",Panchkula,Institutes of National Importance,https://www.nift.ac.in/panchkula,www.nift.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
"National Institute of Technology, Kurukshetra",Kurukshetra,Institutes of National Importance,https://nitkkr.ac.in,nitkkr.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
"University of Southampton, Gurugram",Gurugram,International Universities,https://www.delhi.southampton.ac.uk,www.delhi.southampton.ac.uk,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Bhagat Phool Singh Mahila Vishwavidyalaya,Sonipat,State Universities,http://bpsmv.ac.in,bpsmv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
CCS Haryana Agricultural University,Hisar,State Universities,https://hau.ac.in,hau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Chaudhary Bansi Lal University,Bhiwani,State Universities,https://cblu.ac.in,cblu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Chaudhary Devi Lal University,Sirsa,State Universities,https://www.cdlu.ac.in/,www.cdlu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Deenbandhu Chhotu Ram University of Science and Technology,Murthal,State Universities,https://www.dcrustm.ac.in/,www.dcrustm.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Haryana Vishwakarma Skill University,Palwal,State Universities,https://www.svsu.ac.in/,www.svsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Indira Gandhi University Meerpur,Rewari,State Universities,https://igu.ac.in/,igu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
J.C. Bose University of Science and Technology,Faridabad,State Universities,https://jcboseust.ac.in/,jcboseust.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar,State Universities,https://www.luvas.edu.in/,www.luvas.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
Maharana Pratap Horticultural University,Karnal,State Universities,https://www.mhu.ac.in/,www.mhu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Haryana
