University Name,City,Category,Website,Website Domain,Confidence,Source
Central Tribal University of Andhra Pradesh,Vizianagaram,Central Universities,https://www.ctuap.ac.in/,www.ctuap.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
National Sanskrit University,Tirupati,Central Universities,https://nsktu.ac.in/,nsktu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
All India Institute of Medical Sciences,Mangalagiri,Central Institutions (Autonomous),https://www.aiimsmangalagiri.edu.in/,www.aiimsmangalagiri.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Central Tobacco Research Institute,Rajamahendravaram,Central Institutions (Autonomous),https://ctri.icar.gov.in/,ctri.icar.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Culinary Institute,Tirupati,Central Institutions (Autonomous),https://www.icitirupati.in/,www.icitirupati.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Foreign Trade,Kakinada,Central Institutions (Autonomous),https://www.iift.ac.in/,www.iift.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Information Technology,Sri City,Central Institutions (Autonomous),https://iiits.ac.in/,iiits.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Information Technology Design and Manufacturing,Kurnool,Central Institutions (Autonomous),https://iiitk.ac.in/,iiitk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Management,Visakhapatnam,Central Institutions (Autonomous),https://www.iimv.ac.in/,www.iimv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Packaging,Visakhapatnam,Central Institutions (Autonomous),https://iip-in.com/,iip-in.com,medium,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Petroleum and Energy,Visakhapatnam,Central Institutions (Autonomous),https://iipe.ac.in/,iipe.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Science Education and Research,Tirupati,Central Institutions (Autonomous),https://www.iisertirupati.ac.in/,www.iisertirupati.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Technology,Tirupati,Central Institutions (Autonomous),https://iittp.ac.in/,iittp.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Institute of Tourism and Travel Management,Nellore,Central Institutions (Autonomous),https://iittmsouth.org/,iittmsouth.org,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indian Maritime University Visakhapatnam Campus,Visakhapatnam,Central Institutions (Autonomous),http://www.imuv.edu.in/,www.imuv.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
National Academy of Customs Indirect Taxes and Narcotics,Hindupuram,Central Institutions (Autonomous),https://www.nacin.gov.in/,www.nacin.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
National Institute of Design,Amaravati,Central Institutions (Autonomous),https://www.nidap.ac.in/,www.nidap.ac.in,low,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
National Institute of Ocean Technology,Nellore,Central Institutions (Autonomous),https://www.niot.res.in/,www.niot.res.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
National Institute of Oceanography,Visakhapatnam,Central Institutions (Autonomous),https://nio.org/,nio.org,medium,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
National Institute of Technology Andhra Pradesh,Tadepalligudem,Central Institutions (Autonomous),https://nitandhra.ac.in/,nitandhra.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
School of Planning and Architecture,Vijayawada,Central Institutions (Autonomous),https://spav.ac.in/,spav.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Acharya N. G. Ranga Agricultural University,Guntur,State Universities,https://angrau.ac.in/,angrau.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Andhra Kesari University,Ongole,State Universities,https://akuprakasam.ac.in/,akuprakasam.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Andhra Pradesh Fisheries University,Narsapuram,State Universities,https://apfu.ap.gov.in/,apfu.ap.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Andhra University,Visakhapatnam,State Universities,https://www.andhrauniversity.edu.in/,www.andhrauniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Cluster University,Kurnool,State Universities,https://cuklap.ac.in/,cuklap.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Damodaram Sanjivayya National Law University,Visakhapatnam,State Universities,https://dsnlu.ac.in/,dsnlu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dr. Abdul Haq Urdu University,Kurnool,State Universities,https://ahuuk.ac.in/,ahuuk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dr. B. R. Ambedkar University,Srikakulam,State Universities,https://www.brau.edu.in/,www.brau.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dr. NTR University of Health Sciences,Vijayawada,State Universities,https://drntr.uhsap.in/,drntr.uhsap.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dr. Y.S.R. Horticultural University,Tadepalligudem,State Universities,https://drysrhu.ap.gov.in/,drysrhu.ap.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dr. YSR Architecture and Fine Arts University,Kadapa,State Universities,https://www.ysrafu.ac.in/,www.ysrafu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dravidian University,Kuppam,State Universities,https://www.dravidianuniversity.ac.in/,www.dravidianuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Jawaharlal Nehru Technological University,Anantapur,State Universities,https://www.jntua.ac.in/,www.jntua.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Rajiv Gandhi University of Knowledge Technologies,Nuzvid,State Universities,https://rguktn.ac.in/,rguktn.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Rayalaseema University,Kurnool,State Universities,https://rayalaseemauniversity.ac.in/,rayalaseemauniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sri Krishnadevaraya University,Anantapuram,State Universities,http://www.skuniversity.ac.in/,www.skuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sri Padmavati Mahila Visvavidyalayam,Tirupati,State Universities,https://www.spmvv.ac.in/,www.spmvv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sri Venkateswara Institute of Medical Sciences,Tirupati,State Universities,https://svimstpt.ap.nic.in/,svimstpt.ap.nic.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sri Venkateswara University,Tirupati,State Universities,https://svuniversity.edu.in/,svuniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sri Venkateswara Vedic University,Tirupati,State Universities,https://www.svvedicuniversity.ac.in/,www.svvedicuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sri Venkateswara Veterinary University,Tirupati,State Universities,https://svvu.edu.in/,svvu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Vikrama Simhapuri University,Nellore,State Universities,https://vsu.ac.in/,vsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Yogi Vemana University,Kadapa,State Universities,https://www.yvu.edu.in/,www.yvu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Aditya University,Surampalem,State Private Universities,https://www.adityauniversity.in/,www.adityauniversity.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Annamacharya University,Rajampet,State Private Universities,https://annamacharyauniversity.edu.in/,annamacharyauniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Bharatiya Engineering Science and Technology Innovation University,Gownivaripalli,State Private Universities,https://bestiu.edu.in/,bestiu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Centurion University of Technology and Management,Vizianagaram,State Private Universities,https://cutmap.ac.in/,cutmap.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Godavari Global University,Rajahmundry,State Private Universities,https://ggu.edu.in/,ggu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Great Lake International University,Sri City,State Private Universities,http://www.gliu.edu.in/,www.gliu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
KREA University,Sri City,State Private Universities,https://krea.edu.in/,krea.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Mohan Babu University,Rangampet,State Private Universities,https://www.mbu.asia/,www.mbu.asia,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
SRM University,Amaravati,State Private Universities,https://www.srmap.edu.in/,www.srmap.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Saveetha Amaravati University,Amaravathi,State Private Universities,https://saveethaamaravatiuniversity.ac.in/,saveethaamaravatiuniversity.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
The Apollo University,Murukambattu,State Private Universities,https://apollouniversity.edu.in/,apollouniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
VIT-AP University,Amaravati,State Private Universities,https://vitap.ac.in/,vitap.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Vasireddy Venkatadri International Technological University,Nambur,State Private Universities,https://www.vvitu.ac.in/,www.vvitu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Audisankara Deemed to be University,Gudur,Deemed Universities,https://audisankarauniversity.edu.in/,audisankarauniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Gandhi Institute of Technology and Management,Visakhapatnam,Deemed Universities,https://www.gitam.edu/,www.gitam.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Koneru Lakshmaiah Education Foundation,Guntur,Deemed Universities,https://www.kluniversity.in/,www.kluniversity.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Madanapalle Institute of Technology and Science,Madanapalle,Deemed Universities,https://mits.ac.in/,mits.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Siddhartha Academy of Higher Education,Vijayawada,Deemed Universities,https://www.vrsiddhartha.ac.in/,www.vrsiddhartha.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sri Sathya Sai Institute of Higher Learning,Puttaparthi,Deemed Universities,https://www.sssihl.edu.in/,www.sssihl.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Adoni Arts and Science College,Adoni,Engineering Colleges,https://www.adonicollege.ac.in/,www.adonicollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Anil Neerukonda Institute of Technology and Sciences,,Engineering Colleges,https://www.anits.edu.in/,www.anits.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Annamacharya Institute of Technology and Science,,Engineering Colleges,https://aitsrajampet.ac.in/,aitsrajampet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Bapatla Engineering College,Bapatla,Engineering Colleges,http://becbapatla.ac.in/,becbapatla.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Bonam Venkata Chalamayya Engineering College,Odalarevu,Engineering Colleges,https://bvcec.edu.in/,bvcec.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Chalapathi Institute of Engineering and Technology,Guntur,Engineering Colleges,https://www.chalapathiengg.ac.in/,www.chalapathiengg.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dhanekula Institute of Engineering and Technology,,Engineering Colleges,https://diet.ac.in/,diet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
G Pulla Reddy College of Engineering & Technology,,Engineering Colleges,https://www.gprec.ac.in/,www.gprec.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
GMR Institute of Technology,,Engineering Colleges,https://gmrit.edu.in/,gmrit.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Gayatri Vidya Parishad College of Engineering,,Engineering Colleges,https://www.gvpce.ac.in/,www.gvpce.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Gudlavalleru Engineering College,,Engineering Colleges,https://www.gecgudlavalleru.ac.in/,www.gecgudlavalleru.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
KSRM College of Engineering,,Engineering Colleges,https://ksrmce.ac.in/,ksrmce.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Krishna University College of Engineering and Technology,,Engineering Colleges,https://krucet.ac.in/,krucet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Lakkireddy Bali Reddy College of Engineering,,Engineering Colleges,https://lbrce.ac.in/,lbrce.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
MVGR College of Engineering,Vizianagaram,Engineering Colleges,https://mvgrce.com/,mvgrce.com,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
N.B.K.R. Institute of Science & Technology,,Engineering Colleges,https://www.nbkrist.org/,www.nbkrist.org,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
NRI Institute of Technology Vijayawada,Vijayawada,Engineering Colleges,https://nriit.edu.in,nriit.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Narasaraopeta Engineering College,Narasaraopeta,Engineering Colleges,https://www.nrtec.in/,www.nrtec.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
QIS College of Engineering and Technology,,Engineering Colleges,https://qiscet.edu.in,qiscet.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Quba College of Engineering and Technology,Nellore,Engineering Colleges,https://www.qubacollege.in,www.qubacollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
RVR & JC College of Engineering,Chowdavaram,Engineering Colleges,https://rvrjcce.ac.in,rvrjcce.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Raghu Engineering College,,Engineering Colleges,https://www.raghuenggcollege.com,www.raghuenggcollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Rajeev Gandhi Memorial College of Engineering & Technology,,Engineering Colleges,https://www.rgmcet.edu.in,www.rgmcet.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sagi Rama Krishnam Raju Engineering College,,Engineering Colleges,https://srkrec.edu.in,srkrec.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Seshadri Rao Gudlavalleru Engineering College,,Engineering Colleges,https://www.gecgudlavalleru.ac.in,www.gecgudlavalleru.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Shree Institute of Technical Education,,Engineering Colleges,,,low,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Sri Venkatesa Perumal College of Engineering & Technology,,Engineering Colleges,https://www.svpcet.org,www.svpcet.org,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
St. Ann's College of Engineering & Technology,,Engineering Colleges,https://sacet.ac.in,sacet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Tenali Engineering College,Tenali,Engineering Colleges,http://www.tec.edu.in,www.tec.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Vasireddy Venkatadri Institute of Technology,Nambur,Engineering Colleges,https://www.vvitguntur.com,www.vvitguntur.com,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Vignan's Institute of Information Technology,Tenali,Engineering Colleges,https://vignaniit.edu.in,vignaniit.edu.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Vishnu Institute of Technology,,Engineering Colleges,https://vishnu.edu.in,vishnu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Anantha College of Law,Tirupati,Law Colleges,http://www.anantha.edu.in,www.anantha.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
D.N.R. College of Law,Bhimavaram,Law Colleges,https://dnrlawcollege.in,dnrlawcollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Daita Sriramulu Hindu College of Law,Machilipatnam,Law Colleges,https://dsrhinducollegeoflaw.com,dsrhinducollegeoflaw.com,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dr Ambedkar Global Law Institute,Tirupati,Law Colleges,https://www.ambedkarlaw.edu.in,www.ambedkarlaw.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Dr. B. R. Ambedkar College of Law,Visakhapatnam,Law Colleges,https://www.andhrauniversity.edu.in/college/college-of-law/law-home.html,www.andhrauniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Gitam School of Law,Visakhapatnam,Law Colleges,https://www.gitam.edu/visakhapatnam/gitam-school-of-law,www.gitam.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Indira Priyadarshini Law College,Ongole,Law Colleges,https://iplcongole.in,iplcongole.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
JC College of Law,Guntur,Law Colleges,https://www.jccollegeoflaw.com,www.jccollegeoflaw.com,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
KKC College of Law,Chittoor,Law Colleges,http://www.kkclaw.org,www.kkclaw.org,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
KLU Law College,Vijayawada,Law Colleges,https://www.kluniversity.in/law/default.aspx,www.kluniversity.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
NS Law College,Devarajugattu,Law Colleges,http://www.nslawcollege.in,www.nslawcollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
NVP Law College,Visakhapatnam,Law Colleges,http://www.nvplawcollege.com,www.nvplawcollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
PS Raju Law College,Kakinada,Law Colleges,,,low,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
Smt Velagapudi Durgamba Siddhartha Law College,Vijayawada,Law Colleges,https://www.svdsiddharthalawcollege.ac.in,www.svdsiddharthalawcollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Andhra_Pradesh
