University Name,City,Category,Website,Website Domain,Confidence,Source
Kaloji Narayana Rao University of Health Sciences,Warangal,State Universities,https://www.knruhs.telangana.gov.in/,www.knruhs.telangana.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
NALSAR University of Law,Hyderabad,State Universities,https://nalsar.ac.in/,nalsar.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
P. V. Narasimha Rao Telangana Veterinary University,Hyderabad,State Universities,https://pvnrtvu.ac.in/,pvnrtvu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Palamuru University,Mahabubnagar,State Universities,https://palamuruuniversity.ac.in/,palamuruuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Potti Sreeramulu Telugu University,Hyderabad,State Universities,https://teluguuniversity.ac.in/,teluguuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Satavahana University,Karimnagar,State Universities,https://satavahana.ac.in/,satavahana.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Sri Konda Laxman Telangana State Horticultural University,Hyderabad,State Universities,https://skltghu.ac.in/,skltghu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Telangana University,Nizamabad,State Universities,http://www.telanganauniversity.ac.in/,www.telanganauniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Maulana Azad National Urdu University,Hyderabad,Central Universities,https://manuu.ac.in/,manuu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
University of Hyderabad,Hyderabad,Central Universities,https://uohyd.ac.in/,uohyd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Administrative Staff College of India,Hyderabad,Academic Institutes,https://asci.org.in/,asci.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"Birla Institute of Technology and Science, Pilani - Hyderabad",Hyderabad,Academic Institutes,https://www.bits-pilani.ac.in/hyderabad/,www.bits-pilani.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Footwear Design and Development Institute,Hyderabad,Academic Institutes,https://www.fddiindia.com/,www.fddiindia.com,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Indian Institute of Chemical Technology,Hyderabad,Academic Institutes,https://www.iict.res.in/,www.iict.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"Indian Institute of Packaging, Hyderabad",Hyderabad,Academic Institutes,https://iip-in.com/,iip-in.com,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Indian Institute of Technology Hyderabad,Hyderabad,Academic Institutes,https://www.iith.ac.in/,www.iith.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Indian School of Business,Hyderabad,Academic Institutes,https://www.isb.edu/,www.isb.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Institute for Development and Research in Banking Technology,Hyderabad,Academic Institutes,https://www.idrbt.ac.in/,www.idrbt.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Institute of Public Enterprise,Hyderabad,Academic Institutes,https://www.ipeindia.org/,www.ipeindia.org,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"International Institute of Information Technology, Hyderabad",Hyderabad,Academic Institutes,https://www.iiit.ac.in/,www.iiit.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
International School of Engineering,Hyderabad,Academic Institutes,https://www.insofe.edu.in/,www.insofe.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
National Institute of Agricultural Extension Management,Hyderabad,Academic Institutes,https://www.manage.gov.in/,www.manage.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"National Institute of Fashion Technology, Hyderabad",Hyderabad,Academic Institutes,https://www.nift.ac.in/hyderabad/,www.nift.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"National Institute of Micro, Small and Medium Enterprises",Hyderabad,Academic Institutes,https://www.nimsme.gov.in/,www.nimsme.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"National Institute of Pharmaceutical Education and Research, Hyderabad",Hyderabad,Academic Institutes,http://www.niperhyd.ac.in/,www.niperhyd.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"National Institute of Technology, Warangal",Warangal,Academic Institutes,https://www.nitw.ac.in/,www.nitw.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
National Institute of Tourism and Hospitality Management,Hyderabad,Academic Institutes,https://nithm.ac.in/,nithm.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Tata Institute of Fundamental Research Hyderabad,Hyderabad,Academic Institutes,https://www.tifrh.res.in/,www.tifrh.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"Tata Institute of Social Sciences, Hyderabad",Hyderabad,Academic Institutes,https://tiss.ac.in/view/15/hyderabad-campus/,tiss.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Bhaskar Medical College & General Hospital,Hyderabad,Medical Colleges,https://www.bhaskarmedicalcollege.edu.in/,www.bhaskarmedicalcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Deccan College of Medical Sciences,Hyderabad,Medical Colleges,https://dcms.ac.in/,dcms.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Gandhi Medical College,Secunderabad,Medical Colleges,https://gmcsecunderabad.org/,gmcsecunderabad.org,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
"Government Medical College, Nizamabad",Nizamabad,Medical Colleges,https://www.gmcnzb.org/,www.gmcnzb.org,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
Nizam's Institute of Medical Sciences,Hyderabad,Medical Colleges,http://www.nims.edu.in/,www.nims.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Telangana
